,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,city-L/100km,horsepower-binned,diesel,gas
0,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863,0.8902777778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,11.1904761905,Medium,0,1
1,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863,0.8902777778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,11.1904761905,Medium,0,1
2,1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.8226814032,0.9097222222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,12.3684210526,Medium,0,1
3,2,164,audi,std,four,sedan,fwd,front,99.8,0.8486304661,0.9194444444,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,9.7916666667,Medium,0,1
4,2,164,audi,std,four,sedan,4wd,front,99.4,0.8486304661,0.9222222222,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,13.0555555556,Medium,0,1
5,2,122,audi,std,two,sedan,fwd,front,99.8,0.8519942335,0.9208333333,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,12.3684210526,Medium,0,1
6,1,158,audi,std,four,sedan,fwd,front,105.8,0.9259971168,0.9916666667,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,12.3684210526,Medium,0,1
7,1,122,audi,std,four,wagon,fwd,front,105.8,0.9259971168,0.9916666667,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,12.3684210526,Medium,0,1
8,1,158,audi,turbo,four,sedan,fwd,front,105.8,0.9259971168,0.9916666667,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,13.8235294118,Medium,0,1
9,2,192,bmw,std,two,sedan,rwd,front,101.2,0.8495915425,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,10.2173913043,Low,0,1
10,0,192,bmw,std,four,sedan,rwd,front,101.2,0.8495915425,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,10.2173913043,Low,0,1
11,0,188,bmw,std,two,sedan,rwd,front,101.2,0.8495915425,0.9,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,11.1904761905,Medium,0,1
12,0,188,bmw,std,four,sedan,rwd,front,101.2,0.8495915425,0.9,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,11.1904761905,Medium,0,1
13,1,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172033,0.9291666667,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,11.75,Medium,0,1
14,0,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172033,0.9291666667,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,14.6875,High,0,1
15,0,122,bmw,std,two,sedan,rwd,front,103.5,0.931283037,0.9430555556,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,14.6875,High,0,1
16,0,122,bmw,std,four,sedan,rwd,front,110,0.9466602595,0.9847222222,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,15.6666666667,High,0,1
17,2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.6780394041,0.8375,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5,Low,0,1
18,1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.7491590581,0.8833333333,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6.1842105263,Low,0,1
19,0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.763094666,0.8833333333,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6.1842105263,Low,0,1
20,1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.8861111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,6.3513513514,Low,0,1
21,1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.8861111111,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
22,1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.8861111111,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,9.7916666667,Medium,0,1
23,1,148,dodge,std,four,hatchback,fwd,front,93.7,0.755886593,0.8861111111,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
24,1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.8861111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
25,1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.8861111111,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
26,1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.755886593,0.8861111111,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,9.7916666667,Medium,0,1
27,-1,110,dodge,std,four,wagon,fwd,front,103.3,0.8390197021,0.8972222222,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,9.7916666667,Low,0,1
28,3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.8322921672,0.9208333333,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12.3684210526,Medium,0,1
29,2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412,0.8875,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,4.7959183673,Low,0,1
30,2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412,0.8875,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,7.5806451613,Low,0,1
31,1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073042,0.8888888889,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,6.1842105263,Low,0,1
32,1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073042,0.8888888889,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7.8333333333,Low,0,1
